audit_id,domain,split,target_valid,primary_valid,automated_alternative,accepted_alternative,confirmed_nonunique,verdict,rationale
1,cs,train,1,1,1,D2,1,pass_nonunique,"Both sets cover the no-go invariant, higher-dimensional examples and adaptive-gate escape route; D2 changes the locality-preserving classification and Levin--Wen source while reconstructing the same endpoint."
2,cs,train,1,0,1,,0,fail_primary,"The primary set attributes type-dependent decoding metrics and the method of types to Graph decomposition: A new key to coding theorems. Its abstract and the target's citation context support an error-exponent/LM-rate result, not that claimed contribution."
3,cs,train,1,1,1,D2,1,pass_nonunique,Both sets retain the restart transformation and synthesis ingredients; D2 replaces the weighted-graph source with a finite-state competitive-analysis source for the same cycle-ratio role.
4,cs,train,1,0,1,,0,fail_primary,"The primary set attributes Jacobian-rank dimensional expressivity to The theory of variational hybrid quantum-classical algorithms. The target paper presents that geometric/Jacobian analysis as its own contribution; the cited paper supplies the variational-circuit setting, not the claimed method."
5,cs,train,1,1,1,D2,1,pass_nonunique,"D2 replaces the Wasserstein-gradient-flow monograph with an equivalent survey while retaining the global-minimum, entropic and privacy ingredients."
6,cs,train,1,1,1,D2,1,pass_nonunique,"D2 replaces the monitors-as-memories paper with a distinct monitors paper while retaining multiparty types, higher-order communication and atomic rollback, reconstructing the same causal-consistency claim."
7,cs,train,1,1,0,,0,pass_no_alternative,The LSTM source supports variable-length sequential encoding into a fixed state; no distinct decomposition was found under the construction budget.
8,cs,test,1,1,1,D2,1,pass_nonunique,D2 changes the generation lower-bound source while preserving universal learning and enumeration components for the same language-identification and generation endpoint.
9,cs,test,1,1,1,D2,1,pass_nonunique,A general blackboard-architecture paper replaces Hearsay-II as the shared-workspace source; language memory and verification components are unchanged.
10,cs,test,1,1,0,,0,pass_no_alternative,The single Weil-bound inspiration is citation-grounded and coherent with the fixed endpoint; no distinct set was found under the budget.
11,cs,test,1,1,1,D2,1,pass_nonunique,D2 replaces one multi-agent-debate paper with another while retaining consensus arbitration and information gathering under partial observability.
12,cs,test,1,1,0,,0,pass_no_alternative,"The proximal-sampling, convergence and lower-bound sources form a coherent primary explanation; no distinct set was found under the budget."
